taxon_id,taxon_kind,scientific_name,language,common_name,source,source_priority,confidence,display_status,reviewer,notes,apply_status
reftaxon:inaturalist:8088,referenced_taxon,Garrulus glandarius,fr,Geai des chênes,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:8088,referenced_taxon,Garrulus glandarius,nl,Gaai,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:8143,referenced_taxon,Rhipidura leucophrys,en,Willie Wagtail,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:827372,referenced_taxon,Anas diazi,en,Mexican Duck,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:827401,referenced_taxon,Pica serica,en,Oriental Magpie,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:8423,referenced_taxon,Strepera graculina,en,Pied Currawong,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:8575,referenced_taxon,Gymnorhina tibicen,en,Australian Magpie,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:891696,referenced_taxon,Pica pica,fr,Pie bavarde,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:891696,referenced_taxon,Pica pica,nl,Ekster,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:9195,referenced_taxon,Emberiza citrinella,en,Yellowhammer,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:9236,referenced_taxon,Serinus serinus,en,European Serin,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:9246,referenced_taxon,Serinus canaria,en,Island Canary,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:9398,referenced_taxon,Carduelis carduelis,fr,Chardonneret élégant,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:9462,referenced_taxon,Pyrrhula pyrrhula,en,Eurasian Bullfinch,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:979813,referenced_taxon,Microcarbo pygmaeus,en,Pygmy Cormorant,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:981,referenced_taxon,Phasianus colchicus,en,Ring-necked Pheasant,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
